,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate
9052,2017030413_153,2017030413,153,15.0,54.0,Goal,Backhand,79.0,5.0,2,REGULAR,70,1130,2018-06-03 01:22:43,0,1,"Alex Ovechkin (14) Backhand, assists: John Carlson (14), Evgeny Kuznetsov (15)",79.0,5.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9053,2017030415_161,2017030415,161,15.0,54.0,Goal,Slap Shot,-82.0,-26.0,2,REGULAR,614,586,2018-06-08 01:33:50,2,1,"Alex Ovechkin (15) Slap Shot, assists: Nicklas Backstrom (18), John Carlson (15)",-82.0,-26.0,,8471214,Alex,Ovechkin,LW,1985-09-17
9054,2017030221_246,2017030221,246,15.0,5.0,Goal,Snap Shot,-59.0,-17.0,3,REGULAR,28,1172,2018-04-27 01:01:20,0,2,"Alex Ovechkin (6) Snap Shot, assists: Tom Wilson (3), Dmitry Orlov (3)",59.0,17.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9055,2017030222_14,2017030222,14,15.0,5.0,Goal,Wrist Shot,-50.0,-8.0,1,REGULAR,86,1114,2018-04-29 19:22:57,0,1,"Alex Ovechkin (7) Wrist Shot, assists: none",50.0,8.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9056,2017030223_334,2017030223,334,15.0,5.0,Goal,Wrist Shot,-78.0,1.0,3,REGULAR,1133,67,2018-05-02 02:15:23,4,3,"Alex Ovechkin (8) Wrist Shot, assists: Nicklas Backstrom (9)",78.0,-1.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9057,2013021036_262,2013021036,262,15.0,24.0,Goal,Slap Shot,-76.0,-18.0,3,REGULAR,164,1036,2014-03-19 04:05:32,3,2,"Alex Ovechkin (46) Slap Shot, assists: John Carlson (21), Nicklas Backstrom (55)",76.0,18.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9058,2012020511_116,2012020511,116,15.0,7.0,Goal,Wrist Shot,57.0,30.0,2,REGULAR,141,1059,2013-03-31 00:00:00,1,2,"Alex Ovechkin (17) Wrist Shot, assists: Mike Green (6), Brooks Laich (2)",57.0,30.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9059,2012020511_316,2012020511,316,15.0,7.0,Goal,Wrist Shot,-70.0,1.0,5,SHOOTOUT,0,300,2013-03-31 00:00:00,3,3,Alex Ovechkin - Wrist Shot,-70.0,1.0,,8471214,Alex,Ovechkin,LW,1985-09-17
9060,2012020065_211,2012020065,211,15.0,7.0,Goal,Slap Shot,-68.0,-21.0,3,REGULAR,311,889,2013-01-27 21:59:21,1,3,"Alex Ovechkin (1) Slap Shot, assists: Mike Green (2), Mike Ribeiro (5)",68.0,21.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9061,2012020182_301,2012020182,301,15.0,13.0,Goal,Slap Shot,51.0,18.0,3,REGULAR,1031,169,2013-02-13 03:03:11,5,5,"Alex Ovechkin (5) Slap Shot, assists: Mike Ribeiro (12), Nicklas Backstrom (8)",51.0,18.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9062,2012020521_253,2012020521,253,15.0,4.0,Goal,Slap Shot,67.0,20.0,3,REGULAR,408,792,2013-04-01 00:10:28,4,2,"Alex Ovechkin (18) Slap Shot, assists: John Carlson (12), Troy Brouwer (13)",67.0,20.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9063,2013020859_291,2013020859,291,15.0,52.0,Goal,Backhand,-78.0,0.0,3,REGULAR,466,734,2014-02-07 02:12:12,2,3,"Alex Ovechkin (40) Backhand, assists: Nicklas Backstrom (43), Karl Alzner (11)",78.0,0.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9064,2014021154_196,2014021154,196,15.0,8.0,Goal,Wrist Shot,-63.0,-14.0,2,REGULAR,848,352,2015-04-03 01:03:39,2,1,"Alex Ovechkin (51) Wrist Shot, assists: John Carlson (38), Braden Holtby (2)",63.0,14.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9065,2014021154_294,2014021154,294,15.0,8.0,Goal,Wrist Shot,78.0,17.0,3,REGULAR,666,534,2015-04-03 01:58:37,3,3,"Alex Ovechkin (52) Wrist Shot, assists: John Carlson (39), Nicklas Backstrom (56)",78.0,17.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9066,2014020906_315,2014020906,315,15.0,5.0,Goal,Slap Shot,-36.0,-7.0,3,REGULAR,986,214,2015-02-26 03:40:53,4,3,"Alex Ovechkin (39) Slap Shot, assists: John Carlson (33), Troy Brouwer (14)",36.0,7.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9067,2016020610_320,2016020610,320,15.0,8.0,Goal,Snap Shot,48.0,19.0,3,REGULAR,996,204,2017-01-10 03:05:18,4,1,"Alex Ovechkin (19) Snap Shot, assists: Nicklas Backstrom (24), Marcus Johansson (15)",48.0,19.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9068,2017021170_43,2017021170,43,15.0,3.0,Goal,Slap Shot,61.0,18.0,1,REGULAR,534,666,2018-03-26 23:57:19,3,0,"Alex Ovechkin (45) Slap Shot, assists: John Carlson (49), Nicklas Backstrom (44)",61.0,18.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9069,2017020058_154,2017020058,154,15.0,1.0,Goal,Wrist Shot,60.0,21.0,2,REGULAR,481,719,2017-10-14 00:16:27,2,0,"Alex Ovechkin (9) Wrist Shot, assists: Nicklas Backstrom (7), John Carlson (3)",60.0,21.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9070,2013020902_86,2013020902,86,15.0,6.0,Goal,Slap Shot,-54.0,-27.0,1,REGULAR,1119,81,2014-03-01 18:40:45,1,0,"Alex Ovechkin (42) Slap Shot, assists: John Carlson (16), Nicklas Backstrom (48)",54.0,27.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9071,2013020902_113,2013020902,113,15.0,6.0,Goal,Slap Shot,48.0,23.0,2,REGULAR,144,1056,2014-03-01 19:06:28,2,0,"Alex Ovechkin (43) Slap Shot, assists: Marcus Johansson (30), Joel Ward (17)",48.0,23.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9072,2013020835_373,2013020835,373,15.0,17.0,Goal,Slap Shot,-57.0,-20.0,4,OVERTIME,157,143,2014-02-02 20:17:15,5,6,"Alex Ovechkin (39) Slap Shot, assists: John Carlson (13), Nicklas Backstrom (42)",-57.0,-20.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9073,2013020343_344,2013020343,344,15.0,10.0,Goal,Snap Shot,53.0,23.0,3,REGULAR,950,250,2013-11-24 02:37:29,1,1,"Alex Ovechkin (20) Snap Shot, assists: Mike Green (12)",53.0,23.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9074,2013020443_66,2013020443,66,15.0,18.0,Goal,Slap Shot,-54.0,-17.0,1,REGULAR,789,411,2013-12-08 00:31:43,0,2,"Alex Ovechkin (22) Slap Shot, assists: Nicklas Backstrom (20)",54.0,17.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9075,2013020080_177,2013020080,177,15.0,22.0,Goal,Wrist Shot,69.0,-12.0,2,REGULAR,798,402,2013-10-15 00:24:27,1,3,"Alex Ovechkin (6) Wrist Shot, assists: Marcus Johansson (5), Nicklas Backstrom (6)",69.0,-12.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9076,2012020145_222,2012020145,222,15.0,5.0,Goal,Wrist Shot,-67.0,-12.0,3,REGULAR,514,686,2013-02-08 02:12:14,2,5,"Alex Ovechkin (3) Wrist Shot, assists: Mike Ribeiro (9), Mike Green (4)",67.0,12.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9077,2013020708_245,2013020708,245,15.0,5.0,Goal,Wrist Shot,-65.0,-12.0,3,REGULAR,515,685,2014-01-16 03:09:43,3,2,"Alex Ovechkin (34) Wrist Shot, assists: Marcus Johansson (25), Mike Green (20)",65.0,12.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9078,2013020935_257,2013020935,257,15.0,4.0,Goal,Snap Shot,63.0,25.0,3,REGULAR,395,805,2014-03-06 03:14:20,2,4,"Alex Ovechkin (44) Snap Shot, assists: Nicklas Backstrom (49), John Carlson (17)",63.0,25.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9079,2012020545_307,2012020545,307,15.0,2.0,Goal,Backhand,-79.0,-1.0,5,SHOOTOUT,0,300,2013-04-05 01:39:07,1,1,Alex Ovechkin - Backhand,-79.0,-1.0,,8471214,Alex,Ovechkin,LW,1985-09-17
9080,2013020515_103,2013020515,103,15.0,4.0,Goal,Backhand,-85.0,-8.0,2,REGULAR,40,1160,2013-12-18 01:34:41,1,0,"Alex Ovechkin (28) Backhand, assists: Nicklas Backstrom (29), Marcus Johansson (20)",85.0,8.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9081,2012020633_184,2012020633,184,15.0,10.0,Goal,Slap Shot,46.0,21.0,2,REGULAR,839,361,2013-04-17 00:36:53,0,4,"Alex Ovechkin (28) Slap Shot, assists: Mike Green (8), Mike Ribeiro (30)",46.0,21.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9082,2014020167_101,2014020167,101,15.0,53.0,Goal,Slap Shot,-69.0,-14.0,1,REGULAR,969,231,2014-11-03 00:43:48,1,3,"Alex Ovechkin (6) Slap Shot, assists: Mike Green (6), Nicklas Backstrom (9)",69.0,14.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9083,2014020052_9,2014020052,9,15.0,1.0,Goal,Wrist Shot,-64.0,9.0,1,REGULAR,34,1166,2014-10-16 23:09:49,0,1,"Alex Ovechkin (5) Wrist Shot, assists: Troy Brouwer (2), Brooks Orpik (1)",64.0,-9.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9084,2014020739_58,2014020739,58,15.0,19.0,Goal,Slap Shot,-61.0,-14.0,1,REGULAR,590,610,2015-02-01 18:27:43,1,1,"Alex Ovechkin (30) Slap Shot, assists: Mike Green (25), Nicklas Backstrom (36)",61.0,14.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9085,2014020739_185,2014020739,185,15.0,19.0,Goal,Snap Shot,62.0,8.0,2,REGULAR,870,330,2015-02-01 19:29:50,2,2,"Alex Ovechkin (31) Snap Shot, assists: Nicklas Backstrom (37)",62.0,8.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9086,2014020483_192,2014020483,192,15.0,1.0,Goal,Backhand,-77.0,-9.0,3,REGULAR,436,764,2014-12-21 02:05:14,3,0,"Alex Ovechkin (15) Backhand, assists: Nicklas Backstrom (25)",77.0,9.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9087,2014020832_259,2014020832,259,15.0,26.0,Goal,Slap Shot,66.0,30.0,3,REGULAR,115,1085,2015-02-15 05:03:41,1,2,"Alex Ovechkin (34) Slap Shot, assists: Evgeny Kuznetsov (18)",66.0,30.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9088,2014020223_61,2014020223,61,15.0,29.0,Goal,Slap Shot,-63.0,-22.0,1,REGULAR,469,731,2014-11-12 00:25:24,0,2,"Alex Ovechkin (7) Slap Shot, assists: Mike Green (8), Nicklas Backstrom (11)",63.0,22.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9089,2014020223_108,2014020223,108,15.0,29.0,Goal,Wrist Shot,-54.0,7.0,1,REGULAR,964,236,2014-11-12 00:44:01,1,3,"Alex Ovechkin (8) Wrist Shot, assists: Jay Beagle (1), Nicklas Backstrom (12)",54.0,-7.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9090,2014020414_8,2014020414,8,15.0,14.0,Goal,Wrist Shot,-70.0,-3.0,1,REGULAR,40,1160,2014-12-10 00:39:40,1,0,"Alex Ovechkin (13) Wrist Shot, assists: Tom Wilson (5), John Carlson (16)",70.0,3.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9091,2014020414_293,2014020414,293,15.0,14.0,Goal,Wrist Shot,-20.0,-13.0,3,REGULAR,1199,1,2014-12-10 03:06:12,5,3,"Alex Ovechkin (14) Wrist Shot, assists: Nicklas Backstrom (22)",20.0,13.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9092,2014021217_137,2014021217,137,15.0,3.0,Goal,Slap Shot,59.0,20.0,2,REGULAR,391,809,2015-04-11 17:43:07,3,1,"Alex Ovechkin (53) Slap Shot, assists: John Carlson (43), Nicklas Backstrom (60)",59.0,20.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9093,2014020761_176,2014020761,176,15.0,9.0,Goal,Wrist Shot,84.0,-1.0,2,REGULAR,857,343,2015-02-06 02:00:43,2,1,"Alex Ovechkin (32) Wrist Shot, assists: Jay Beagle (7), Marcus Johansson (18)",84.0,-1.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9094,2014020668_247,2014020668,247,15.0,25.0,Goal,Wrist Shot,78.0,0.0,3,REGULAR,21,1179,2015-01-18 03:05:57,3,3,"Alex Ovechkin (25) Wrist Shot, assists: Nicklas Backstrom (32)",78.0,0.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9095,2014020836_22,2014020836,22,15.0,24.0,Goal,Slap Shot,-57.0,13.0,1,REGULAR,82,1118,2015-02-16 01:11:53,1,1,"Alex Ovechkin (35) Slap Shot, assists: Nicklas Backstrom (42)",57.0,-13.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9096,2014020836_77,2014020836,77,15.0,24.0,Goal,Slap Shot,-56.0,-26.0,1,REGULAR,626,574,2015-02-16 01:27:32,2,2,"Alex Ovechkin (36) Slap Shot, assists: Mike Green (29), Nicklas Backstrom (43)",56.0,26.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9097,2014020506_270,2014020506,270,15.0,3.0,Goal,Snap Shot,62.0,19.0,3,REGULAR,658,542,2014-12-24 02:19:18,2,3,"Alex Ovechkin (16) Snap Shot, assists: John Carlson (22), Marcus Johansson (11)",62.0,19.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9098,2014021128_26,2014021128,26,15.0,3.0,Goal,Wrist Shot,64.0,19.0,1,REGULAR,272,928,2015-03-29 19:16:08,1,0,"Alex Ovechkin (48) Wrist Shot, assists: Joel Ward (15), John Carlson (37)",64.0,19.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9099,2014021128_160,2014021128,160,15.0,3.0,Goal,Slap Shot,-58.0,-24.0,2,REGULAR,677,523,2015-03-29 20:24:03,2,2,"Alex Ovechkin (49) Slap Shot, assists: Nicklas Backstrom (55), Matt Niskanen (25)",58.0,24.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9100,2014020069_345,2014020069,345,15.0,13.0,Goal,Wrist Shot,-80.0,11.0,5,SHOOTOUT,0,300,2014-10-19 01:48:01,1,1,Alex Ovechkin - Wrist Shot,-80.0,11.0,,8471214,Alex,Ovechkin,LW,1985-09-17
9101,2014020577_121,2014020577,121,15.0,13.0,Goal,Wrist Shot,76.0,12.0,2,REGULAR,76,1124,2015-01-04 21:08:02,0,1,"Alex Ovechkin (19) Wrist Shot, assists: Nicklas Backstrom (27), Marcus Johansson (12)",76.0,12.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9102,2015020022_249,2015020022,249,15.0,1.0,Goal,Wrist Shot,-82.0,-7.0,3,REGULAR,393,807,2015-10-11 01:15:45,2,3,"Alex Ovechkin (1) Wrist Shot, assists: Matt Niskanen (1)",82.0,7.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9103,2017021065_40,2017021065,40,15.0,52.0,Goal,Wrist Shot,-57.0,-20.0,1,REGULAR,275,925,2018-03-12 23:16:38,0,1,"Alex Ovechkin (41) Wrist Shot, assists: John Carlson (43), Nicklas Backstrom (34)",57.0,20.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9104,2017021065_152,2017021065,152,15.0,52.0,Goal,Wrist Shot,85.0,8.0,2,REGULAR,233,967,2018-03-13 00:14:42,1,2,"Alex Ovechkin (42) Wrist Shot, assists: Tom Wilson (19), Evgeny Kuznetsov (45)",85.0,8.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9105,2016021078_289,2016021078,289,15.0,20.0,Goal,Wrist Shot,-70.0,-21.0,3,REGULAR,1029,171,2017-03-22 01:27:40,2,4,"Alex Ovechkin (29) Wrist Shot, assists: Kevin Shattenkirk (37), Nicklas Backstrom (56)",70.0,21.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9106,2015020801_287,2015020801,287,15.0,18.0,Goal,Wrist Shot,-75.0,1.0,3,REGULAR,1140,60,2016-02-10 03:43:48,5,3,"Alex Ovechkin (31) Wrist Shot, assists: Nicklas Backstrom (32), Marcus Johansson (19)",75.0,-1.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9107,2017021226_321,2017021226,321,15.0,19.0,Goal,Wrist Shot,-23.0,-24.0,3,REGULAR,1109,91,2018-04-03 02:35:15,4,2,"Alex Ovechkin (46) Wrist Shot, assists: Evgeny Kuznetsov (54), Nicklas Backstrom (48)",23.0,24.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9108,2015020334_44,2015020334,44,15.0,14.0,Goal,Wrist Shot,-61.0,-16.0,1,REGULAR,429,771,2015-11-27 22:19:58,0,1,"Alex Ovechkin (12) Wrist Shot, assists: Jason Chimera (6), Evgeny Kuznetsov (17)",61.0,16.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9109,2015020298_32,2015020298,32,15.0,21.0,Goal,Snap Shot,-66.0,14.0,1,REGULAR,435,765,2015-11-22 00:18:01,0,2,"Alex Ovechkin (10) Snap Shot, assists: Nicklas Backstrom (9), Taylor Chorney (2)",66.0,-14.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9110,2015020535_100,2015020535,100,15.0,7.0,Goal,Wrist Shot,79.0,0.0,2,REGULAR,19,1181,2015-12-29 01:00:46,1,0,"Alex Ovechkin (18) Wrist Shot, assists: Nicklas Backstrom (22), T.J. Oshie (10)",79.0,0.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9111,2015020186_104,2015020186,104,15.0,6.0,Goal,Wrist Shot,-78.0,8.0,1,REGULAR,1047,153,2015-11-06 00:41:04,1,1,"Alex Ovechkin (7) Wrist Shot, assists: Evgeny Kuznetsov (9), John Carlson (9)",78.0,-8.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9112,2016020056_220,2016020056,220,15.0,13.0,Goal,Tip-In,66.0,3.0,3,REGULAR,453,747,2016-10-21 01:40:39,3,2,"Alex Ovechkin (2) Tip-In, assists: Matt Niskanen (3), Karl Alzner (2)",66.0,3.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9113,2016020508_135,2016020508,135,15.0,14.0,Goal,Backhand,75.0,1.0,2,REGULAR,648,552,2016-12-24 01:19:24,0,3,"Alex Ovechkin (15) Backhand, assists: Dmitry Orlov (13)",75.0,1.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9114,2015020052_266,2015020052,266,15.0,16.0,Goal,Wrist Shot,-77.0,-14.0,3,REGULAR,858,342,2015-10-16 01:17:10,1,4,"Alex Ovechkin (2) Wrist Shot, assists: Evgeny Kuznetsov (2), T.J. Oshie (1)",77.0,14.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9115,2013020050_196,2013020050,196,15.0,12.0,Goal,Tip-In,68.0,2.0,2,REGULAR,832,368,2013-10-11 00:30:19,1,2,"Alex Ovechkin (5) Tip-In, assists: Steve Oleksy (1), Nicklas Backstrom (4)",68.0,2.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
