"","player_id","firstName","lastName","nationality","birthCity","primaryPosition","birthDate","link","s20122013","s20132014","s20142015","s20152016","s20162017","s20172018"
"22",8476461,"Sean","Couturier","CAN","Phoenix","C","1992-12-07","/api/v1/people/8476461",16,16,16,16,16,16
"23",8460720,"Eric","Boulton","CAN","Halifax","LW","1976-08-17","/api/v1/people/8460720",22,22,22,22,0,0
"24",8469454,"Ilya","Kovalchuk","RUS","Tver","LW","1983-04-15","/api/v1/people/8469454",23,0,0,0,0,0
"25",8475170,"Brayden","Schenn","CAN","Saskatoon","C","1991-08-22","/api/v1/people/8475170",16,16,16,16,16,18
"26",8468524,"Ilya","Bryzgalov","RUS","Togliatti","G","1980-06-22","/api/v1/people/8468524",16,37,32,0,0,0
"27",8470609,"Steve","Bernier","CAN","Quebec City","RW","1985-03-31","/api/v1/people/8470609",23,23,23,22,0,22
"28",8465210,"Pavel","Kubina","CZE","Celadna","D","1977-04-15","/api/v1/people/8465210",0,0,0,0,0,0
"29",8471816,"Mark","Fayne","USA","Nashua","D","1987-05-15","/api/v1/people/8471816",23,23,25,25,25,0
"30",8468486,"Scott","Hartnell","CAN","Regina","LW","1982-04-18","/api/v1/people/8468486",16,16,36,36,36,34
"31",8470123,"Cam","Janssen","USA","St. Louis","RW","1984-04-15","/api/v1/people/8470123",23,23,0,0,0,0
"32",8470640,"Matt","Carle","USA","Anchorage","D","1984-09-25","/api/v1/people/8470640",31,31,31,31,34,0
"33",8473512,"Claude","Giroux","CAN","Hearst","C","1988-01-12","/api/v1/people/8473512",16,16,16,16,16,16
"34",8475775,"Tye","McGinn","CAN","Fergus","LW","1990-07-29","/api/v1/people/8475775",16,16,29,31,0,0
"35",8470920,"David","Clarkson","CAN","Toronto","RW","1984-03-31","/api/v1/people/8470920",23,5,5,36,0,0
"36",8470601,"Braydon","Coburn","CAN","Shaunavon","D","1985-02-27","/api/v1/people/8470601",16,16,31,31,31,31
"37",8475342,"Oliver","Lauridsen","DNK","Gentofte","D","1989-03-24","/api/v1/people/8475342",16,0,16,0,0,0
"38",8470171,"Max","Talbot","CAN","Lemoyne","C","1984-02-11","/api/v1/people/8470171",16,27,27,6,0,0
"39",8474892,"Eric","Wellwood","CAN","Windsor","LW","1990-03-06","/api/v1/people/8474892",16,0,0,0,0,0
"40",8476158,"Harry","Zolnierczyk","CAN","Toronto","LW","1987-09-01","/api/v1/people/8476158",16,17,22,32,34,0
"41",8475185,"Jacob","Josefson","SWE","Stockholm","C","1991-03-02","/api/v1/people/8475185",23,23,23,23,23,19
"42",8472394,"Peter","Harrold","USA","Kirtland Hills","D","1983-06-08","/api/v1/people/8472394",23,23,23,0,0,0
"43",8462535,"Jody","Shelley","CAN","Thompson","LW","1976-02-07","/api/v1/people/8462535",16,0,0,0,0,0
"44",8448208,"Jaromir","Jagr","CZE","Kladno","RW","1972-02-15","/api/v1/people/8448208",6,23,23,33,33,21
"45",8469623,"Marek","Zidlicky","CZE","Most","D","1977-02-03","/api/v1/people/8469623",23,23,23,22,0,0
"46",8468038,"Michael","Leighton","CAN","Petrolia","G","1981-05-19","/api/v1/people/8468038",16,0,0,11,26,0
"47",8474736,"Zac","Rinaldo","CAN","Mississauga","C","1990-06-15","/api/v1/people/8474736",16,16,16,6,0,28
"48",8473646,"Ryan","Carter","USA","White Bear Lake","LW","1983-08-03","/api/v1/people/8473646",23,23,37,37,0,0
"49",8471269,"Nicklas","Grossmann","SWE","Stockholm","D","1985-01-22","/api/v1/people/8471269",16,16,16,28,21,0
"50",8471467,"Matthew","Ford","USA","West Hills","RW","1984-10-09","/api/v1/people/8471467",0,0,0,0,0,0
"51",8470610,"Zach","Parise","USA","Minneapolis","LW","1984-07-28","/api/v1/people/8470610",37,37,37,37,37,37
"52",8475430,"Brandon","Manning","CAN","Prince George","D","1990-06-04","/api/v1/people/8475430",16,0,16,16,16,16
"53",8460626,"Bryce","Salvador","CAN","Brandon","D","1976-02-11","/api/v1/people/8460626",23,23,23,0,0,0
"54",8460465,"Petr","Sykora","CZE","Plzen","RW","1976-11-19","/api/v1/people/8460465",0,0,0,0,0,0
"55",8460542,"Patrik","Elias","CZE","Trebic","C","1976-04-13","/api/v1/people/8460542",23,23,23,23,0,0
"56",8471636,"Tim","Sestito","USA","Rome","LW","1984-08-28","/api/v1/people/8471636",23,23,23,0,0,0
"57",8476209,"Mike","Sislo","USA","Superior","RW","1988-01-20","/api/v1/people/8476209",0,23,23,23,0,0
"58",8471712,"Jeff","Frazee","USA","Edina","G","1987-05-13","/api/v1/people/8471712",23,0,0,0,0,0
"59",8471236,"Andrej","Meszaros","SVK","Povazská Bystrica","D","1985-10-13","/api/v1/people/8471236",16,16,19,0,0,0
"60",8473580,"Matthew","Corrente","CAN","Mississauga","D","1988-03-17","/api/v1/people/8473580",0,0,0,0,0,0
"61",8471365,"Steven","Zalewski","USA","Utica","C","1986-08-20","/api/v1/people/8471365",0,0,0,0,0,0
"62",8473944,"Matt","Anderson","USA","West Islip","RW","1982-10-31","/api/v1/people/8473944",23,0,0,0,0,0
"63",8475248,"Alexander","Urbom","SWE","Stockholm","D","1990-12-20","/api/v1/people/8475248",23,24,0,0,0,0
"64",8473592,"Vladimir","Zharkov","RUS","Elektrostal","RW","1988-01-10","/api/v1/people/8473592",0,0,0,0,0,0
"65",8467436,"Jay","Leach","USA","Syracuse","D","1979-09-02","/api/v1/people/8467436",0,0,0,0,0,0
"66",8476234,"Keith","Kinkaid","USA","Farmingville","G","1989-07-04","/api/v1/people/8476234",23,0,23,23,23,23
"67",8475060,"Matt","Taormina","USA","Warren","D","1986-10-20","/api/v1/people/8475060",31,31,0,31,0,0
"68",8473927,"Brad","Mills","CAN","Terrace","C","1983-05-03","/api/v1/people/8473927",0,11,0,0,0,0
"69",8474614,"Brandon","Burlon","CAN","Nobleton","D","1990-03-05","/api/v1/people/8474614",0,0,0,0,0,0
"70",8474219,"Dan","Kelly","USA","Plattsburgh","D","1989-05-17","/api/v1/people/8474219",0,0,0,0,0,0
"71",8475199,"Eric","Gelinas","CAN","Vanier","D","1991-05-08","/api/v1/people/8475199",23,23,23,23,27,0
"72",8474023,"Mike","Hoeffel","USA","North Oaks","LW","1989-04-09","/api/v1/people/8474023",0,0,0,0,0,0
"73",8474582,"Mattias","Tedenby","SWE","Vetlanda","RW","1990-02-21","/api/v1/people/8474582",23,23,0,0,0,0
"74",8467452,"Rob","Scuderi","USA","Syosset","D","1978-12-30","/api/v1/people/8467452",14,17,17,14,0,0
"75",8471718,"Marc-Andre","Cliche","CAN","Rouyn-Noranda","C","1987-03-23","/api/v1/people/8471718",0,27,27,0,0,0
"76",8470662,"Colin","Fraser","CAN","Sicamous","C","1985-01-28","/api/v1/people/8470662",14,14,18,0,0,0
"77",8476404,"Andy","Andreoff","CAN","Pickering","C","1991-05-17","/api/v1/people/8476404",0,0,14,14,14,14
"78",8474594,"Slava","Voynov","RUS","Chelyabinsk","D","1990-01-15","/api/v1/people/8474594",14,14,14,0,0,0
"79",8475160,"Kyle","Clifford","CAN","Ayr","LW","1991-01-13","/api/v1/people/8475160",14,14,14,14,14,14
"80",8471208,"Dustin","Penner","CAN","Winkler","RW","1982-09-28","/api/v1/people/8471208",14,24,0,0,0,0
"81",8474518,"Davis","Drewiske","USA","Hudson","D","1984-11-22","/api/v1/people/8474518",14,0,0,0,0,0
"82",8473908,"Kevin","Westgarth","CAN","Amherstburg","RW","1984-02-07","/api/v1/people/8473908",26,21,0,0,0,0
"83",8465185,"Willie","Mitchell","CAN","Port McNeill","D","1977-04-23","/api/v1/people/8465185",0,14,33,33,0,0
"84",8471685,"Anze","Kopitar","SVN","Jesenice","C","1987-08-24","/api/v1/people/8471685",14,14,14,14,14,14
"85",8473664,"Justin","Azevedo","CAN","West Lorne","C","1988-04-01","/api/v1/people/8473664",0,0,0,0,0,0
"86",8475726,"Tyler","Toffoli","CAN","Scarborough","RW","1992-04-24","/api/v1/people/8475726",14,14,14,14,14,14
"87",8474638,"Andrew","Campbell","CAN","Caledonia","D","1988-02-04","/api/v1/people/8474638",0,14,28,5,0,0
"88",8470755,"Brad","Richardson","CAN","Belleville","C","1985-02-04","/api/v1/people/8470755",14,20,20,28,28,28
"89",8475325,"Jordan","Nolan","CAN","Garden River, First Nations","C","1989-06-23","/api/v1/people/8475325",14,14,14,14,14,19
"90",8474563,"Drew","Doughty","CAN","London","D","1989-12-08","/api/v1/people/8474563",14,14,14,14,14,14
"91",8474162,"Jake","Muzzin","CAN","Woodstock","D","1989-02-21","/api/v1/people/8474162",14,14,14,14,14,14
"92",8475096,"Patrick","Mullen","USA","Pittsburgh","D","1986-05-06","/api/v1/people/8475096",0,0,0,0,0,0
"93",8474166,"Alec","Martinez","USA","Rochester Hills","D","1987-07-26","/api/v1/people/8474166",14,14,14,14,14,14
"94",8474681,"Andrei","Loktionov","RUS","Voskresensk","C","1990-05-30","/api/v1/people/8474681",23,23,0,0,0,0
"95",8468526,"Jarret","Stoll","CAN","Melville","C","1982-06-24","/api/v1/people/8468526",14,14,14,37,0,0
"96",8470604,"Jeff","Carter","CAN","London","C","1985-01-01","/api/v1/people/8470604",14,14,14,14,14,14
"97",8470606,"Dustin","Brown","USA","Ithaca","RW","1984-11-04","/api/v1/people/8470606",14,14,14,14,14,14
"98",8474889,"Martin","Jones","CAN","North Vancouver","G","1990-01-10","/api/v1/people/8474889",0,14,14,29,29,29
"99",8470121,"Matt","Greene","USA","Grand Ledge","D","1983-05-13","/api/v1/people/8470121",14,14,14,14,14,0
"100",8466182,"Henrik","Tallinder","SWE","Stockholm","D","1979-01-10","/api/v1/people/8466182",23,19,0,0,0,0
"101",8471733,"Rich","Clune","CAN","Toronto","LW","1987-04-25","/api/v1/people/8471733",34,34,34,5,0,0
"102",8471734,"Jonathan","Quick","USA","Milford","G","1986-01-21","/api/v1/people/8471734",14,14,14,14,14,14
"103",8475223,"Linden","Vey","CAN","Wakaw","RW","1991-07-17","/api/v1/people/8475223",0,14,20,20,21,0
"104",8467346,"Simon","Gagne","CAN","Ste. Foy","LW","1980-02-29","/api/v1/people/8467346",14,0,6,0,0,0
"105",8470617,"Mike","Richards","CAN","Kenora","C","1985-02-11","/api/v1/people/8470617",14,14,14,24,0,0
"106",8473453,"Trevor","Lewis","USA","Salt Lake City","C","1987-01-08","/api/v1/people/8473453",14,14,14,14,14,14
"107",8474100,"Dwight","King","CAN","Meadow Lake","LW","1989-07-05","/api/v1/people/8474100",14,14,14,14,14,0
"108",8474066,"Thomas","Hickey","CAN","Calgary","D","1989-02-08","/api/v1/people/8474066",22,22,22,22,22,22
"109",8468508,"Justin","Williams","CAN","Cobourg","RW","1981-10-04","/api/v1/people/8468508",14,14,14,24,24,26
"110",8473419,"Brad","Marchand","CAN","Halifax","LW","1988-05-11","/api/v1/people/8473419",6,6,6,6,6,6
"111",8470905,"Randy","Jones","CAN","Quispamsis","D","1981-07-23","/api/v1/people/8470905",0,0,0,0,0,0
"112",8474749,"Matt","Bartkowski","USA","Pittsburgh","D","1988-06-04","/api/v1/people/8474749",6,6,6,20,21,21
"113",8471717,"Adam","McQuaid","CAN","Charlottetown","D","1986-10-12","/api/v1/people/8471717",6,6,6,6,6,6
"114",8471916,"Mike","Angelidis","CAN","Woodbridge","LW","1985-06-27","/api/v1/people/8471916",31,0,31,31,0,0
"115",8471276,"David","Krejci","CZE","Sternberk","C","1986-04-28","/api/v1/people/8471276",6,6,6,6,6,6
"116",8470187,"Johnny","Boychuk","CAN","Edmonton","D","1984-01-19","/api/v1/people/8470187",6,6,22,22,22,22
"117",8471514,"Rich","Peverley","CAN","Kingston","C","1982-07-08","/api/v1/people/8471514",6,15,0,0,0,0
"118",8471314,"Mike","Lundin","USA","Burnsville","D","1984-09-24","/api/v1/people/8471314",30,0,0,0,0,0
"119",8475167,"Victor","Hedman","SWE","Ornskoldsvik","D","1990-12-18","/api/v1/people/8475167",31,31,31,31,31,31
"120",8470230,"Daniel","Paille","CAN","Welland","LW","1984-04-15","/api/v1/people/8470230",6,6,6,10,0,0
"121",8467925,"Adam","Hall","USA","Kalamazoo","RW","1980-08-14","/api/v1/people/8467925",16,16,0,0,0,0
"122",8469765,"Marc-Andre","Bergeron","CAN","Trois-Rivieres","D","1980-10-13","/api/v1/people/8469765",26,0,0,0,0,0
"123",8467329,"Vincent","Lecavalier","CAN","Ile Bizard","C","1980-04-21","/api/v1/people/8467329",31,16,16,14,0,0
"124",8467967,"Chris","Kelly","CAN","Toronto","C","1980-11-11","/api/v1/people/8467967",6,6,6,6,30,32
"125",8470638,"Patrice","Bergeron","CAN","Ancienne-Lorette","C","1985-07-24","/api/v1/people/8470638",6,6,6,6,6,6
"126",8468575,"Dominic","Moore","CAN","Thornhill","C","1980-08-03","/api/v1/people/8468575",0,10,10,10,6,5
"127",8450725,"Mark","Recchi","CAN","Kamloops","RW","1968-02-01","/api/v1/people/8450725",0,0,0,0,0,0
"128",8470596,"Nathan","Horton","CAN","Welland","RW","1985-05-29","/api/v1/people/8470596",6,36,0,0,0,0
"129",8471767,"Blair","Jones","CAN","Central Butte","C","1986-09-27","/api/v1/people/8471767",21,21,16,0,0,0
"130",8470634,"Matt","Smaby","USA","Minneapolis","D","1984-10-14","/api/v1/people/8470634",0,0,0,0,0,0
"131",8474682,"Dustin","Tokarski","CAN","Watson","G","1989-09-16","/api/v1/people/8474682",0,1,1,1,32,0
"132",8460806,"Dwayne","Roloson","CAN","Simcoe","G","1969-10-12","/api/v1/people/8460806",0,0,0,0,0,0
"133",8474564,"Steven","Stamkos","CAN","Markham","C","1990-02-07","/api/v1/people/8474564",31,31,31,31,31,31
"134",8474002,"Colby","Cohen","USA","Villanova","D","1989-04-25","/api/v1/people/8474002",0,0,0,0,0,0
"135",8473473,"Milan","Lucic","CAN","Vancouver","LW","1988-06-07","/api/v1/people/8473473",6,6,6,14,25,25
"136",8474000,"Steven","Kampfer","USA","Ann Arbor","D","1988-09-24","/api/v1/people/8474000",0,0,33,33,10,10
"137",8465978,"Shawn","Thornton","CAN","Oshawa","LW","1977-07-23","/api/v1/people/8465978",6,6,33,33,33,0
"138",8471418,"Anton","Khudobin","RUS","Ust-Kamenogorsk","G","1986-05-07","/api/v1/people/8471418",6,26,26,32,6,6
"139",8469619,"Dennis","Seidenberg","DEU","Schwenningen","D","1981-07-18","/api/v1/people/8469619",6,6,6,6,22,22
"140",8465056,"Trent","Whitfield","CAN","Alameda","C","1977-06-17","/api/v1/people/8465056",0,0,0,0,0,0
"141",8466142,"Eric","Brewer","CAN","Vernon","D","1979-04-17","/api/v1/people/8466142",31,31,31,0,0,0
"142",8470804,"Mathieu","Roy","CAN","St. Georges","D","1983-08-10","/api/v1/people/8470804",31,0,0,0,0,0
"143",8470169,"Gregory","Campbell","CAN","London","C","1983-12-17","/api/v1/people/8470169",6,6,6,36,0,0
"144",8474095,"Dana","Tyrell","CAN","Airdrie","C","1989-04-23","/api/v1/people/8474095",31,31,36,0,0,0
"145",8465009,"Zdeno","Chara","SVK","Trencin","D","1977-03-18","/api/v1/people/8465009",6,6,6,6,6,6
"146",8467988,"Ryan","Malone","USA","Pittsburgh","LW","1979-12-01","/api/v1/people/8467988",31,31,10,0,0,0
"147",8470615,"Marc-Antoine","Pouliot","CAN",NA,"C","1985-05-22","/api/v1/people/8470615",0,0,0,0,0,0
"148",8467545,"Michael","Ryder","CAN","Bonavista","RW","1980-03-31","/api/v1/people/8467545",1,23,23,0,0,0
"149",8465200,"Tomas","Kaberle","CZE","Rakovnik","D","1978-03-02","/api/v1/people/8465200",1,0,0,0,0,0
"150",8466333,"Andrew","Ference","CAN","Edmonton","D","1979-03-17","/api/v1/people/8466333",6,25,25,25,0,0
"151",8471703,"Steve","Downie","CAN","Newmarket","RW","1987-04-03","/api/v1/people/8471703",27,16,17,28,0,0
"152",8466378,"Martin","St. Louis","CAN","Laval","RW","1975-06-18","/api/v1/people/8466378",31,31,10,0,0,0
"153",8465122,"Brett","Clark","CAN","Wapella","D","1976-12-23","/api/v1/people/8465122",37,0,0,0,0,0
"154",8474657,"Jamie","Arniel","CAN","Kingston","C","1989-11-16","/api/v1/people/8474657",0,0,0,0,0,0
"155",8473962,"Teddy","Purcell","CAN","St. John's","LW","1985-09-08","/api/v1/people/8473962",31,31,25,33,14,0
"156",8470176,"Sean","Bergenheim","FIN","Helsinki","LW","1984-02-08","/api/v1/people/8470176",0,33,37,0,0,0
"157",8471668,"Mattias","Ritola","SWE","Borlange","C","1987-03-14","/api/v1/people/8471668",0,0,0,0,0,0
"158",8470775,"Nate","Thompson","USA","Anchorage","C","1984-10-05","/api/v1/people/8470775",31,31,32,32,32,14
"159",8475794,"Tyler","Seguin","CAN","Brampton","C","1992-01-31","/api/v1/people/8475794",6,15,15,15,15,15
"160",8460703,"Tim","Thomas","USA","Flint","G","1974-04-15","/api/v1/people/8460703",0,15,0,0,0,0
"161",8460503,"Mattias","Ohlund","SWE","Pitea","D","1976-09-09","/api/v1/people/8460503",0,0,0,0,0,0
"162",8475150,"Jordan","Caron","CAN","Sayabec","RW","1990-11-02","/api/v1/people/8475150",6,6,27,18,0,0
"163",8460661,"Shane","Hnidy","CAN","Neepawa","D","1975-11-08","/api/v1/people/8460661",0,0,0,0,0,0
"164",8469608,"Mike","Smith","CAN","Kingston","G","1982-03-22","/api/v1/people/8469608",28,28,28,28,28,21
"165",8471958,"Dan","Girardi","CAN","Welland","D","1984-04-29","/api/v1/people/8471958",10,10,10,10,10,31
"166",8471873,"Anton","Stralman","SWE","Tibro","D","1986-08-01","/api/v1/people/8471873",10,10,31,31,31,31
"167",8473932,"Darroll","Powe","CAN","Saskatoon","C","1985-06-22","/api/v1/people/8473932",10,10,0,0,0,0
"168",8475118,"Matt","Gilroy","USA","North Bellmore","D","1984-07-20","/api/v1/people/8475118",10,33,0,0,0,0
"169",8470192,"Steve","Eminger","CAN","Woodbridge","D","1983-10-31","/api/v1/people/8470192",10,0,0,0,0,0
"170",8475243,"Ryan","Bourque","USA","Boxford","C","1991-01-03","/api/v1/people/8475243",0,0,10,0,0,0
"171",8474230,"Micheal","Haley","CAN","Guelph","C","1986-03-30","/api/v1/people/8474230",10,0,29,29,29,33
"172",8474151,"Ryan","McDonagh","USA","St. Paul","D","1989-06-13","/api/v1/people/8474151",10,10,10,10,10,31
"173",8458938,"Roman","Hamrlik","CZE","Zlin","D","1974-04-12","/api/v1/people/8458938",10,0,0,0,0,0
"174",8462033,"Wade","Redden","CAN","Lloydminster","D","1977-06-12","/api/v1/people/8462033",18,0,0,0,0,0
"175",8465025,"Arron","Asham","CAN","Portage la Prairie","RW","1978-04-13","/api/v1/people/8465025",10,10,0,0,0,0
"176",8467881,"Taylor","Pyatt","CAN","Thunder Bay","LW","1981-08-19","/api/v1/people/8467881",10,17,0,0,0,0
"177",8473544,"Derick","Brassard","CAN","Hull","C","1987-09-22","/api/v1/people/8473544",10,10,10,10,30,17
"178",8471686,"Marc","Staal","CAN","Thunder Bay","D","1987-01-13","/api/v1/people/8471686",10,10,10,10,10,10
"179",8470232,"Kris","Newbury","CAN","Brampton","C","1982-02-19","/api/v1/people/8470232",10,16,0,0,0,0
"180",8474678,"Jason","Missiaen","CAN","Chatham","G","1990-04-25","/api/v1/people/8474678",0,0,0,0,0,0
"181",8475692,"Mats","Zuccarello","NOR","Oslo","RW","1987-09-01","/api/v1/people/8475692",10,10,10,10,10,10
"182",8476462,"Dougie","Hamilton","CAN","Toronto","D","1993-06-17","/api/v1/people/8476462",6,6,6,21,21,21
"183",8470041,"Rick","Nash","CAN","Brampton","LW","1984-06-16","/api/v1/people/8470041",10,10,10,10,10,6
"184",8469534,"Aaron","Johnson","CAN","Port Hawkesbury","D","1983-04-30","/api/v1/people/8469534",6,0,0,0,0,0
"185",8471339,"Ryan","Callahan","USA","Rochester","RW","1985-03-21","/api/v1/people/8471339",10,31,31,31,31,31
"186",8468685,"Henrik","Lundqvist","SWE","Are","G","1982-03-02","/api/v1/people/8468685",10,10,10,10,10,10
"187",8459454,"Jay","Pandolfo","USA","Winchester","LW","1974-12-27","/api/v1/people/8459454",6,0,0,0,0,0
"188",8473432,"Derek","Dorsett","CAN","Kindersley","RW","1986-12-20","/api/v1/people/8473432",10,10,20,20,20,20
"189",8471695,"Tuukka","Rask","FIN","Savonlinna","G","1987-03-10","/api/v1/people/8471695",6,6,6,6,6,6
"190",8476468,"J.T.","Miller","USA","East Palestine","C","1993-03-14","/api/v1/people/8476468",10,10,10,10,10,31
"191",8474772,"Stu","Bickel","USA","Chanhassen","D","1986-10-02","/api/v1/people/8474772",10,0,37,0,0,0
"192",8474850,"Brandon","Mashinter","CAN","Bradford","LW","1988-09-20","/api/v1/people/8474850",10,10,0,11,0,0
"193",8475184,"Chris","Kreider","USA","Boxford","LW","1991-04-30","/api/v1/people/8475184",10,10,10,10,10,10
"194",8475186,"John","Moore","USA","Winnetka","D","1990-11-19","/api/v1/people/8475186",10,10,10,23,23,23
"195",8476792,"Torey","Krug","USA","Livonia","D","1991-04-12","/api/v1/people/8476792",6,6,6,6,6,6
"196",8473484,"Kaspars","Daugavins","LVA","Riga","LW","1988-05-18","/api/v1/people/8473484",6,0,0,0,0,0
"197",8474176,"Carl","Hagelin","SWE","Sodertalje","LW","1988-08-23","/api/v1/people/8474176",10,10,10,17,17,17
"198",8475660,"Cam","Talbot","CAN","Caledonia","G","1987-07-05","/api/v1/people/8475660",0,10,10,25,25,25
"199",8471262,"Carl","Soderberg","SWE","Malmö","C","1985-10-12","/api/v1/people/8471262",6,6,6,27,27,27
"200",8469622,"Ryane","Clowe","CAN","St. John's","LW","1982-09-30","/api/v1/people/8469622",10,23,23,0,0,0
"201",8467389,"Brad","Richards","CAN","Murray Hbr.","C","1980-05-02","/api/v1/people/8467389",10,10,11,12,0,0
"202",8470619,"Brian","Boyle","USA","Hingham","C","1984-12-18","/api/v1/people/8470619",10,10,31,31,5,23
"203",8474613,"Derek","Stepan","USA","Hastings","C","1990-06-18","/api/v1/people/8474613",10,10,10,10,10,28
"204",8475749,"Christian","Thomas","CAN","Toronto","LW","1992-05-26","/api/v1/people/8475749",10,1,1,1,0,0
"205",8474584,"Michael","Del Zotto","CAN","Stouffville","D","1990-06-24","/api/v1/people/8474584",10,34,16,16,16,20
"206",8475795,"Dylan","McIlrath","CAN","Winnipeg","D","1992-04-20","/api/v1/people/8475795",0,10,10,10,33,0
"207",8469755,"Brandon","Segal","CAN","Richmond","RW","1983-07-12","/api/v1/people/8469755",10,0,0,0,0,0
"208",8476844,"Niklas","Svedberg","SWE","Sollentuna","G","1989-09-04","/api/v1/people/8476844",0,6,6,0,0,0
"209",8465951,"Matt","Cooke","CAN","Belleville","LW","1978-09-07","/api/v1/people/8465951",17,37,37,0,0,0
"210",8469638,"Jussi","Jokinen","FIN","Kalajoki","LW","1983-04-01","/api/v1/people/8469638",17,17,33,33,33,14
"211",8468542,"Paul","Martin","USA","Minneapolis","D","1981-03-05","/api/v1/people/8468542",17,17,17,29,29,29
"212",8462042,"Jarome","Iginla","CAN","Edmonton","RW","1977-07-01","/api/v1/people/8462042",17,6,27,27,27,0
"213",8471311,"Tyler","Kennedy","CAN","Sault Ste. Marie","C","1986-07-15","/api/v1/people/8471311",17,29,22,23,0,0
"214",8471675,"Sidney","Crosby","CAN","Cole Harbour","C","1987-08-07","/api/v1/people/8471675",17,17,17,17,17,17
"215",8466160,"Brenden","Morrow","CAN","Carlyle","LW","1979-01-16","/api/v1/people/8466160",17,18,31,0,0,0
"216",8470543,"Chris","Kunitz","CAN","Regina","LW","1979-09-26","/api/v1/people/8470543",17,17,17,17,17,31
"217",8476211,"Carter","Camper","USA","Cleveland","C","1988-07-06","/api/v1/people/8476211",0,0,0,0,0,0
"218",8475761,"Beau","Bennett","USA","Gardena","RW","1991-11-27","/api/v1/people/8475761",17,17,17,17,23,18
"219",8471724,"Kris","Letang","CAN","Montreal","D","1987-04-24","/api/v1/people/8471724",17,17,17,17,17,17
"220",8468498,"Brooks","Orpik","USA","San Francisco","D","1980-09-26","/api/v1/people/8468498",17,17,24,24,24,24
"221",8466393,"Pascal","Dupuis","CAN","Laval","RW","1979-04-07","/api/v1/people/8466393",17,17,17,17,0,0
"222",8471246,"Chris","Bourque","USA","Boston","LW","1986-01-29","/api/v1/people/8471246",6,0,0,0,0,0
"223",8471856,"Joe","Vitale","USA","St. Louis","C","1985-08-20","/api/v1/people/8471856",17,17,28,28,0,0
"224",8471215,"Evgeni","Malkin","RUS","Magnitogorsk","C","1986-07-31","/api/v1/people/8471215",17,17,17,17,17,17
"225",8460712,"Tomas","Vokoun","CZE","Karlovy Vary","G","1976-07-02","/api/v1/people/8460712",17,0,0,0,0,0
"226",8474091,"Brandon","Sutter","CAN","Huntington","C","1989-02-14","/api/v1/people/8474091",17,17,17,20,20,20
"227",8471702,"Matt","Niskanen","USA","Virginia","D","1986-12-06","/api/v1/people/8471702",17,17,24,24,24,24
"228",8468114,"Douglas","Murray","SWE","Bromma","D","1980-03-12","/api/v1/people/8468114",17,1,0,0,0,0
